iter	F1	Logloss	Precision	Recall
0	0.5261831924	0.6929468157	0.7440203562	0.4070155902
1	0.5596927701	0.6927794285	0.6992073425	0.4665924276
2	0.623953824	0.6925886864	0.6476932295	0.6018930958
3	0.616024974	0.6923999078	0.6609250399	0.5768374165
4	0.6180462342	0.6922355054	0.6655958882	0.5768374165
5	0.6179196704	0.692068398	0.655226209	0.5846325167
6	0.6115853659	0.6918308543	0.6758760108	0.5584632517
7	0.6133129304	0.6916461973	0.6809378186	0.5579064588
8	0.6074693941	0.6914157087	0.6850751485	0.5456570156
9	0.5983502538	0.6911703756	0.6954277286	0.5250556793
10	0.5889372682	0.6909680114	0.6998850134	0.5083518931
11	0.5925925926	0.6908140471	0.6986767486	0.5144766147
12	0.5873221216	0.6905750197	0.700617284	0.5055679287
13	0.5859009518	0.6903717699	0.6965861143	0.5055679287
14	0.5896363051	0.6901677464	0.6987032799	0.5100222717
15	0.5875706215	0.6899579913	0.6991932386	0.5066815145
16	0.5878758643	0.6897755179	0.6958507804	0.508908686
17	0.5887445887	0.6895964842	0.6941398866	0.5111358575
18	0.589122413	0.689398371	0.6951912154	0.5111358575
19	0.587268332	0.6891810316	0.6972828167	0.5072383073
20	0.5862960569	0.6889738075	0.6987673344	0.5050111359
21	0.587345033	0.6888127585	0.6964490263	0.5077951002
22	0.5890476955	0.68863022	0.6960151803	0.5105790646
23	0.5900272567	0.6884733236	0.6956521739	0.5122494432
24	0.5904792435	0.6883175571	0.6958821307	0.5128062361
25	0.5903846154	0.6881306887	0.6956193353	0.5128062361
26	0.588953115	0.6879101509	0.6957511381	0.5105790646
27	0.5900481541	0.6877363176	0.6967399545	0.5116926503
28	0.5897641585	0.6875514116	0.6959485044	0.5116926503
29	0.58957498	0.6873833511	0.6954218691	0.5116926503
30	0.5897230671	0.6871991623	0.6937853107	0.5128062361
31	0.5897968975	0.6870270738	0.6929725667	0.513363029
32	0.5897025903	0.6868683795	0.6927122464	0.513363029
33	0.5890827597	0.6866874366	0.6930320151	0.5122494432
34	0.5904153355	0.6865271716	0.6926536732	0.5144766147
35	0.5908655382	0.6863583205	0.6928838951	0.5150334076
36	0.5913377018	0.6861460026	0.6941838649	0.5150334076
37	0.5916932907	0.6859984793	0.6941529235	0.5155902004
38	0.5911267156	0.685826261	0.6925953628	0.5155902004
39	0.5905096661	0.6856145155	0.6929133858	0.5144766147
40	0.5908655382	0.6854264516	0.6928838951	0.5150334076
41	0.5912210694	0.6852440333	0.6928544706	0.5155902004
42	0.5916706558	0.6851021195	0.6930841121	0.5161469933
43	0.5913875598	0.6849246213	0.6923076923	0.5161469933
44	0.5905826018	0.684729479	0.6921062477	0.5150334076
45	0.5902267646	0.6845854636	0.6921348315	0.5144766147
46	0.5898705864	0.6843830775	0.6921634796	0.5139198218
47	0.5897763578	0.6842052517	0.691904048	0.5139198218
